fips,poverty,popdensity,medianhousevalue,pct_blk,medianhouseholdincome,pct_owner_occ,hispanic,education,population,pct_asian,pct_native,pct_white
36103,0.051331323,1919.121842,394871.7629,0.047526794,81471.38237,0.821040431,0.09295951,0.178086588,1593265.769,0.024108597,0.002393934,0.887624457
72001,0.541763903,286.0597037,87525.4801,0.011175262,11575.74959,0.666212368,0.994595613,0.710080001,18660.18098,3.93E-05,7.86E-04,0.933841146
72003,0.488161741,1353.69468,77662.03639,0.036211857,13858.008,0.792213038,0.957545151,0.748278507,41608.54531,9.66E-04,0.001141921,0.790904378
72005,0.464009163,1816.278394,100273.3366,0.03966575,14224.37671,0.675811859,0.972441234,0.682343334,169322.6087,0.003919094,9.58E-04,0.813410267
72093,0.587637578,161.275433,80659.33386,0.019811007,11119.25432,0.712149403,0.995465765,0.74438681,6447.602457,5.83E-05,5.83E-04,0.902378293
72011,0.456304559,785.8626176,93330.75327,0.034020614,15254.15309,0.78916355,0.990795447,0.721624976,28552.98241,8.15E-04,0.001182257,0.824985531
72141,0.525012575,323.2808463,82682.09116,0.018286666,12947.41056,0.674709394,0.98901466,0.71606719,64371.54586,0.002584626,9.87E-04,0.898154331
72013,0.51844701,791.713879,87243.50673,0.035355702,14696.66653,0.758988746,0.992717296,0.650242651,237032.1908,0.004743762,0.00308859,0.879231709
72017,0.500763414,1424.077928,88028.33507,0.030547674,14107.18931,0.788261169,0.993760634,0.744973227,24173.02642,8.00E-04,0.001582047,0.902354488
72023,0.478860988,664.4357005,103089.5682,0.021280144,14421.40716,0.718960962,0.989707116,0.687703048,49267.83742,3.35E-04,9.06E-04,0.89758383
72111,0.478683054,597.9209781,71095.1562,0.03445105,14026.0401,0.788374338,0.991697839,0.716657818,26078.04503,5.10E-04,0.003483381,0.848242645
72027,0.453980044,754.1217074,82997.20702,0.017655069,16007.21662,0.763804053,0.991981397,0.768642927,34977.41584,0.001596988,6.97E-04,0.916693923
72081,0.599165847,448.2542224,80256.49673,0.007073732,10478.28334,0.604237443,0.988122494,0.746757312,32314.30921,0.00105959,3.75E-04,0.911128801
72121,0.485231107,726.5354401,81935.74144,0.026269765,14354.53449,0.770603305,0.990926387,0.675060878,25419.29675,1.74E-04,0.003489546,0.900366378
72039,0.552743045,290.2807128,86936.80016,0.017180204,12597.15593,0.726942159,0.995792806,0.773893596,19104.90421,4.10E-04,6.32E-04,0.928957241
72051,0.38508348,1693.881981,121712.3003,0.131463353,23583.33286,0.817663692,0.979821451,0.591632355,36621.94061,0.001511261,0.001952077,0.729537824
72055,0.539818375,598.7271036,70895.22383,0.032149752,11897.14192,0.740400374,0.98990119,0.665889684,20178.3771,5.55E-04,0.001910388,0.88338385
